Title,URLs
"3-шаговая маска для лица антивозрастная ANTI AGING EGF AQUA MASK PACK  25мл/2*2мл",https://beautyty.org/product/elz-3-shagovaja-maska-dlja-litsa-antivozrastnaja-anti-aging-egf-aqua-mask-pack-25ml22ml/,
"3-шаговая маска для лица увлажняющая AQUA WHITE WATER  ILLUMINATE  MASK PACK 25мл/2*2мл",https://beautyty.org/product/elz-3-shagovaja-maska-dlja-litsa-uvlazhnjajuschaja-aqua-white-water-illuminate-mask-pack-25ml22ml/,
"Nail Ножницы маникюрные Scissors",https://beautyty.org/product/sm-nail-nozhnitsy-manikjurnye-scissors/,
"Аква-гель ББ Saemmul Pongdang Jell BB 25гр",https://beautyty.org/product/sm-saemmul-akva-gel-bb-saemmul-pongdang-jell-bb-25gr/,
"Аксессуар для помады Skinfood My Short Cake Lip Case #1 RECIPE",https://beautyty.org/product/sf-aksessuar-dlja-pomady-skinfood-my-short-cake-lip-case-1-recipe/,
"Аксессуар для помады Skinfood My Short Cake Lip Case #3 COOKING BOOK",https://beautyty.org/product/sf-aksessuar-dlja-pomady-skinfood-my-short-cake-lip-case-3-cooking-book/,
"Аксессуар для помады Skinfood My Short Cake Lip Case #6 SWEETWRAP",https://beautyty.org/product/sf-aksessuar-dlja-pomady-skinfood-my-short-cake-lip-case-6-sweetwrap/,
"Аксессуар для помады Skinfood My Short Cake Lip Case #7 STICKCANDLE",https://beautyty.org/product/sf-aksessuar-dlja-pomady-skinfood-my-short-cake-lip-case-7-stickcandle/,
"Ампулы-филлеры для волос  Professional hair ampoule LULU 13мл*10",https://beautyty.org/product/enl-hair-ampuly-fillery-dlja-volos-professional-hair-ampoule-lulu-13ml10/,
"Арома-спрей &#8216;Аромат лилии&#8217; URBAN BREEZE Room Spray-Lily Day 250мл",https://beautyty.org/product/sm-urban-breeze-aroma-sprej-aromat-lilii-urban-breeze-room-spray-lily-day-250ml/,
"Арома-спрей &#8216;Морской бриз&#8217; URBAN BREEZE Room Spray-Cozy Blue 250мл",https://beautyty.org/product/sm-urban-breeze-aroma-sprej-morskoj-briz-urban-breeze-room-spray-cozy-blue-250ml/,
