Артикул,Наименование товара,Barcode,Статус товара,Видимость сайте,Дата создания,"Доступно на складе Ozon, шт","Зарезервировано, шт","Доступно на моем складе, шт","Зарезервировано на моем складе, шт","Текущая цена с учетом скидки, руб.","Базовая цена (цена до скидок), руб."
1311,Патчи для глаз гидрогелевые G9 Pink Blur Hydrogel Eyepatch 100гр,OZN165460157,Продается,да,2020-01-08 15:31:50,0,0,10,0,1628.00,2000.00
1313,Патчи для глаз гидрогелевые с медом G9SKIN Honey Eye Patch,OZN165460156,Продается,да,2020-01-08 15:31:50,0,0,10,0,1532.00,2000.00
1127,Патчи для глаз BLACK SNAIL SLIME EYE PATCH 84гр/60шт,OZN165460158,Продается,да,2020-01-08 15:31:50,0,0,10,0,1099.00,2000.00
1225,Сыворотка для лица с лососевым маслом SALMON OIL NUTRITION SERUM 50ml 50мл,8809555250203,Продается,да,2020-01-12 16:56:34,0,0,10,0,1686.00,2000.00
1047,Сыворотка гиалуроновая Hyaluronic Acid Serum 100% 150мл,8809418750604,Продается,да,2020-01-12 16:56:34,0,0,10,0,1784.00,2500.00
1051,Сыворотка с экстрактом центеллы 100% Centella Asiatica Serum 100% 150мл,8809418750598,Продается,да,2020-01-12 16:56:34,0,0,10,0,1699.00,2000.00
1221,Крем для шеи с лососевым маслом SALMON & PEPTIDE NUTRITION NECK CREAM 50g,8809555251071,Не продается,нет,2020-01-12 16:56:34,0,0,0,0,1822.00,3000.00
1329,Палетка для макияжа губ G9SKIN First LIP Palette 8гр,8809211654406,Не продается,нет,2020-01-12 16:56:34,0,0,0,0,1079.00,1510.00
277,Маска альгинатная для пробл.кожи (пакет) 1кг Herb Lemongrass  Modeling Mask / Refill 1кг,8809329791444,Продается,да,2020-01-12 16:56:34,0,0,10,0,2678.00,4000.00
1464,Тональная основа Essence Cover Cushion No. 23 15гр,8809211654802,Не продается,нет,2020-01-12 16:56:34,0,0,0,0,1892.00,3000.00
2276,Крем для лица с экстрактом алоэ вера REAL SQUEEZE ALOE VERA CREAM 50мл,8806173424177,Не продается,нет,2020-01-12 16:56:34,0,0,0,0,2057.00,3000.00
2294,Тонер антивозрастной с арганой ARGAN 20º ESSENTIAL TONER 170мл,8806173425464,Не продается,нет,2020-01-12 16:56:34,0,0,0,0,1859.00,3000.00
